2016-02-01 18:06:52,270 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/bizruntime/Chinna/BizRuntime/workspace/JspAndServletProject/RegistrationPage/src/main/resources
2016-02-01 18:06:52,282 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-01 18:06:52,283 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/bizruntime/Chinna/BizRuntime/workspace/JspAndServletProject/RegistrationPage/src/test/resources
2016-02-01 18:06:52,284 [Worker-2] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of RegistrationPage
2016-02-01 18:06:52,289 [Worker-2] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for RegistrationPage
2016-02-01 18:06:52,320 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-01 18:08:38,179 [Worker-6] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' /home/bizruntime/Chinna/BizRuntime/workspace/JspAndServletProject/RegistrationPage/pom.xml
2016-02-01 18:08:43,109 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.RegistrationPage:RegistrationPage:0.0.1-SNAPSHOT @ /home/bizruntime/Chinna/BizRuntime/workspace/JspAndServletProject/RegistrationPage/pom.xml.
2016-02-01 18:08:48,435 [Worker-6] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /RegistrationPage/src/main/java
2016-02-01 18:08:48,468 [Worker-6] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /RegistrationPage/src/test/java
2016-02-01 18:08:50,625 [Worker-6] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 12 sec
2016-02-01 18:13:01,744 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.RegistrationPage:RegistrationPage:0.0.1-SNAPSHOT @ /home/bizruntime/Chinna/BizRuntime/workspace/JspAndServletProject/RegistrationPage/pom.xml.
2016-02-01 18:13:11,202 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2016-02-01 18:13:11,204 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/bizruntime/Chinna/BizRuntime/workspace/JspAndServletProject/RegistrationPage/src/main/resources
2016-02-01 18:13:11,209 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2016-02-01 18:13:11,209 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/bizruntime/Chinna/BizRuntime/workspace/JspAndServletProject/RegistrationPage/src/test/resources
2016-02-01 18:17:16,768 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.RegistrationPage:RegistrationPage:0.0.1-SNAPSHOT @ /home/bizruntime/Chinna/BizRuntime/workspace/JspAndServletProject/RegistrationPage/pom.xml.
2016-02-01 18:17:43,165 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
